timestamp,id_equipo,t_ambiente_C,t_interior_C,delta_t_cond_C,eta_compresor,cop,temp_descarga_C,trabajo_kW,calor_extraido_kW,calidad_evap,estado
2025-12-19 14:06:33,CAMARA_01_CARNES,12.4,-17.5,15.0,0.746,3.37,45.8,5.328,17.977,0.292,NORMAL
2025-12-19 14:06:33,CAMARA_02_LACTEOS,12.4,4.2,15.0,0.746,7.84,35.3,1.663,13.035,0.167,NORMAL
2025-12-19 14:06:33,CAMARA_03_VERDURAS,12.4,4.5,15.0,0.738,7.75,35.6,1.682,13.035,0.167,NORMAL
2025-12-19 15:06:33,CAMARA_01_CARNES,13.9,-17.7,15.0,0.734,3.19,48.3,5.562,17.718,0.302,NORMAL
2025-12-19 15:06:33,CAMARA_02_LACTEOS,13.9,4.0,16.1,0.722,6.72,39.4,1.894,12.735,0.186,NORMAL
2025-12-19 15:06:33,CAMARA_03_VERDURAS,13.9,3.8,15.0,0.743,7.28,37.3,1.768,12.863,0.178,NORMAL
2025-12-19 16:06:33,CAMARA_01_CARNES,15.3,-18.3,15.0,0.74,3.09,49.7,5.664,17.476,0.312,NORMAL
2025-12-19 16:06:33,CAMARA_02_LACTEOS,15.3,3.8,16.1,0.746,6.55,40.3,1.919,12.579,0.196,NORMAL
2025-12-19 16:06:33,CAMARA_03_VERDURAS,15.3,4.0,15.0,0.74,6.8,39.2,1.868,12.701,0.188,NORMAL
2025-12-19 17:06:33,CAMARA_01_CARNES,12.8,-17.8,15.0,0.741,3.31,46.5,5.402,17.908,0.295,NORMAL
2025-12-19 17:06:33,CAMARA_02_LACTEOS,12.8,4.0,15.0,0.737,7.59,36.1,1.711,12.989,0.17,NORMAL
2025-12-19 17:06:33,CAMARA_03_VERDURAS,12.8,3.5,15.0,0.732,7.54,36.2,1.722,12.989,0.17,NORMAL
2025-12-19 18:06:33,CAMARA_01_CARNES,15.9,-17.5,15.0,0.724,2.97,51.5,5.845,17.372,0.316,NORMAL
2025-12-19 18:06:33,CAMARA_02_LACTEOS,15.9,3.6,15.0,0.758,6.79,39.4,1.861,12.632,0.192,NORMAL
2025-12-19 18:06:33,CAMARA_03_VERDURAS,15.9,4.2,15.0,0.748,6.7,39.7,1.886,12.632,0.192,NORMAL
2025-12-19 19:06:33,CAMARA_01_CARNES,15.2,-18.4,15.0,0.733,3.07,50.0,5.704,17.493,0.311,NORMAL
2025-12-19 19:06:33,CAMARA_02_LACTEOS,15.2,4.2,15.0,0.766,7.07,38.3,1.797,12.713,0.187,NORMAL
2025-12-19 19:06:33,CAMARA_03_VERDURAS,15.2,3.9,15.0,0.766,7.07,38.3,1.798,12.713,0.187,NORMAL
2025-12-19 20:06:33,CAMARA_01_CARNES,11.9,-17.5,15.0,0.759,3.49,44.3,5.182,18.063,0.288,NORMAL
2025-12-19 20:06:33,CAMARA_02_LACTEOS,11.9,4.3,15.0,0.763,8.21,34.3,1.595,13.093,0.163,NORMAL
2025-12-19 20:06:33,CAMARA_03_VERDURAS,11.9,3.6,15.0,0.769,8.27,34.1,1.583,13.093,0.163,NORMAL
2025-12-19 21:06:33,CAMARA_01_CARNES,11.1,-17.8,15.0,0.75,3.53,43.9,5.163,18.201,0.283,NORMAL
2025-12-19 21:06:33,CAMARA_02_LACTEOS,11.1,3.8,15.0,0.758,8.49,33.4,1.553,13.184,0.157,NORMAL
2025-12-19 21:06:33,CAMARA_03_VERDURAS,11.1,4.3,15.0,0.747,8.37,33.6,1.575,13.184,0.157,NORMAL
